Saltos  Ip             rtt              DRTT
1       192.168.1.1   65.625         65.625
2       200.63.148.59   83.8         18.175
3       200.51.240.181   78.2         5.6
4       213.140.39.118   81.0         2.8
5       84.16.15.6   76.6         4.4
6       213.140.53.77   87.5         10.9
7       89.221.43.28   313.8         226.3
8       149.3.183.45   316.6         2.8
