Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.29.254']   62.8888888889         62.8888888889   18
2       ['10.26.128.1']   83.1333333333         20.2444444444   30
3       ['10.242.0.209']   67.6333333333         -15.5   30
4       ['200.0.17.160']   84.5666666667         16.9333333333   30
5       ['200.0.17.129']   82.7         -1.86666666667   30
6       ['10.1.10.10']   71.1666666667         -11.5333333333   30
7       ['157.92.47.98']   80.4333333333         9.26666666667   30
8       ['157.92.5.125']   72.3103448276         -8.12298850575   29
