Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.29.254']   68.3529411765         68.3529411765   17
2       ['10.26.128.1']   91.0         22.6470588235   30
3       ['10.242.0.209']   66.2         -24.8   30
4       ['190.94.176.106']   81.9333333333         15.7333333333   30
5       ['190.94.176.105']   81.6333333333         -0.3   30
6       *****
7       ['177.84.162.202']   185.0         103.366666667   29
8       ['187.16.219.111']   139.642857143         -45.3571428571   28
9       ['104.16.155.6']   144.8         5.15714285714   30
