Media: 20.6580376478 Desvio Estandar: 37.2683441229 modifiedThompson: 70.6495999538

DRTT    outliers
15.3888888889    No
2.13333333333    No
2.8    No
2.0    No
148.8    Si
12.4    No
25.8666666667    No
3.73333333333    No
24.6666666667    No
9.2    No
3.6    No
0.266666666667    No
8.66666666667    No
13.7333333333    No
122.0    Si
0.933333333333    No
6.8    No
12.2666666667    No
22.4    No
16.5    No
17.5    No
2.88965517241    No
0.589655172414    No
